id,brand,condition,creator,door_count,equipment,first_owner,fiscal_power,fuel_type,image_folder,mileage,model,origin,price,publication_date,sector,seller_city,source,title,transmission,year
49a7941f-45c5-471d-b315-f3b45e05dd27,volkswagen,Excellent,Brookline autoShopBadge Icon,5,,Oui,11,essence,t042m2esbwnm_7,87499,Golf 8,Importée neuve,,02/05/2025 16:59,Casablanca,2 Mars,avito,Golf 8 GTI essence,Automatique,2021
9fce185d-4825-428d-bbe8-7a89fdf33e73,mercedes-benz,Très bon,AutoparisShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Non,30,essence,e40mo3lndl6b_25,194999,Classe E,Importée neuve,115000,02/05/2025 16:58,Casablanca,Hay Hassani,avito,MERCEDES E Coupé 550 Importe Neuf Essence,Automatique,2010
2a6e62b9-6e8f-47ad-a5cf-ccb28e833492,renault,Excellent,Taha WadiiShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Oui,6,diesel,yzxd5txc45mb_26,52499,Express,WW au Maroc,,02/05/2025 16:57,Rabat,Hassan,avito,Renault express 2022,Manuelle,2022
eb45f708-c205-4550-be3f-a347be66b1ce,mitsubishi,Excellent,yassine ShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Ordinateur de bord, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques",Non,10,diesel,9hfgabryhsf4_30,424999,L200,WW au Maroc,128000,02/05/2025 16:59,Fes,Route Ain Chkaf,avito,Mitsubishi L200,Manuelle,2008
9e603017-0582-4fed-ba31-4e70213a494a,audi,Neuf,BEL AIR AUTOShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",,17,diesel,4iv1bgcakzg6_6,2499,Q8,Importée neuve,,02/05/2025 16:59,Casablanca,Maarif,avito,Audi Q8 S LINE Diesel 2025,Automatique,2025
c9f29660-5893-4f1e-83ff-6c0c5a409208,peugeot,Excellent,ALD Automotive - Ayvens,,,,6,diesel,t8kh3gz1m7b2_4,92499,208,,160000,02/05/2025 17:01,Casablanca,Lissasfa,avito,Peugeot 208 Diesel Manuelle 2022 à Casablanca,Manuelle,2022
3102caab-475d-4d64-8a95-ff6662e1fd23,renault,Excellent,IlyasShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Oui,6,diesel,ayvbaza6gpth_34,134999,Clio,WW au Maroc,138000,02/05/2025 16:59,Casablanca,Oulfa,avito,Renault Clio Diesel Manuelle 2022 à Casablanca,Manuelle,2022
6512755b-0022-4965-8f56-895f12ae3cd3,toyota,Excellent,otoclic casablancaShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Oui,10,hybride,8ck1xqfkpxeh_2,82499,C-HR,WW au Maroc,234000,02/05/2025 17:02,Casablanca,Ain Sebaa,avito,Toyota C-HR 1.8 Hybride Distinctive plus,Automatique,2020
f9db5ad4-8aca-47b8-ab93-0acc7385c8d1,geely,Neuf,El Hallaoui MotorsShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Oui,9,essence,wm4wqfzg17fd_29,2499,GX3 Pro,WW au Maroc,,02/05/2025 16:59,Fes,Route de Sefrou,avito,Geely Gx3 Pro,Automatique,2025
6f6e1179-3d3f-4953-a98a-b2c86484d60f,mercedes-benz,Excellent,Brookline autoShopBadge Icon,5,,Oui,11,essence,on5y28wvd56d_31,62499,Classe CLA,Importée neuve,680000,02/05/2025 16:56,Casablanca,2 Mars,avito,Mercedes-benz CLA 45s AMG,Automatique,2021
91040577-9e54-464c-a04b-f3700dc9a041,renault,Très bon,LAVAGE AUTO SAADShopBadge Icon,3,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Non,6,diesel,eoj83a6hqb4u_13,104999,Clio,WW au Maroc,139000,02/05/2025 16:58,Casablanca,2 Mars,avito,Clio 5 tt option,Manuelle,2021
4a78c2f9-740a-406a-918c-77dae65b0eab,renault,Très bon,Garage 2 MarsShopBadge Icon,5,"ABS, CD/MP3/Bluetooth, Climatisation, ESP, Radar de recul, Verrouillage centralisé à distance",Oui,6,diesel,2j279iauxfem_27,104999,Kangoo,WW au Maroc,,02/05/2025 16:59,Casablanca,2 Mars,avito,Renault Kangoo Diesel 2021 à Casablanca,Manuelle,2021
18398e3b-50b0-4fad-ad2a-7befb80c20cb,seat,Excellent,Hamouda Auto,5,"Airbags, Caméra de recul, Climatisation, Jantes aluminium, Limiteur de vitesse, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Vitres électriques",,8,diesel,yknh9bhpxu3k_33,104999,Leon,Dédouanée,,02/05/2025 16:59,Settat,Toute la ville,avito,Seat Leon Fr 2022,Manuelle,2022
431018da-a8ff-4e92-883f-09dd4d2a0aa9,fiat,Bon,otoclic casablancaShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Ordinateur de bord, Verrouillage centralisé à distance, Vitres électriques",Oui,5,diesel,gj9i7msqpwfz_18,32499,Fiorino,WW au Maroc,132000,02/05/2025 16:58,Casablanca,Ain Sebaa,avito,Fiat Fiorino 1.3 Multijet 75 Combi,Manuelle,2022
d3f4f022-6d28-4cc0-9ea3-fdaad3ec8698,porsche,Excellent,auto GhaliShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Oui,27,hybride,xhi6o3cd2f8m_20,47499,Cayenne,Importée neuve,,02/05/2025 16:58,Casablanca,Aïn Chock,avito,Porsche Cayenne Coupé E-Hybrid,Automatique,2023
33035fce-494e-431f-83b5-01446e353078,geely,Neuf,El Hallaoui MotorsShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",,9,essence,ltf2lvlljb2p_28,2499,LC,WW au Maroc,,02/05/2025 16:59,Fes,Route de Sefrou,avito,Geely Cityray,Automatique,2025
c5ec626e-1c30-44e6-84f9-9cebfda6d6fd,abarth,Excellent,AutoparisShopBadge Icon,3,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Non,8,essence,laz4s410vg7f_16,52499,595,WW au Maroc,,02/05/2025 16:59,Casablanca,Hay Hassani,avito,Abarth 595 Essence competizione excellent,Automatique,2021
132daf1e-a6c3-4f8c-8ea7-80fd069caff7,land rover,Excellent,Shaheen AutoShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Verrouillage centralisé à distance, Vitres électriques",Non,8,diesel,kjjti3rv2het_23,134999,Range Rover Evoque,WW au Maroc,,02/05/2025 16:57,Casablanca,Oulfa,avito,Land Rover Range Rover Evoque Diesel Automatique,Automatique,2011
3db17335-8c51-4386-9c84-a6bfb324abab,porsche,Excellent,Brookline autoShopBadge Icon,5,,Oui,12,diesel,77xsueccnr4s_24,144999,Cayenne,Importée neuve,,02/05/2025 16:57,Casablanca,2 Mars,avito,Porsche Cayenne platinum Edition,Automatique,2014
a981c50f-a81d-437b-a516-8f4213b8c484,porsche,Très bon,Garage LahcenShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Non,17,hybride,7ajja3nvlwju_15,77499,Cayenne,Importée neuve,,02/05/2025 16:58,Casablanca,Alsace Lorraine,avito,Porsche Cayenne Hybride Automatique 2021,Automatique,2021
c64b125c-5e99-4e96-b124-3ea04846ee02,volkswagen,Excellent,Garage 2 MarsShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Oui,8,diesel,wem9y8qxv3k4_14,114999,Tiguan,WW au Maroc,,02/05/2025 17:01,Casablanca,2 Mars,avito,Volkswagen Tiguan Diesel Automatique 2017,Automatique,2017
301e2921-c6e2-4fe7-b0f1-2d4eae4409ef,jaguar,Bon,LAVAGE AUTO SAADShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Non,12,diesel,6am8272u967m_17,274999,XF,WW au Maroc,88000,02/05/2025 16:58,Casablanca,2 Mars,avito,Jaguar xf automatique,Automatique,2010
ad99da05-b45a-4138-a798-d2fccb4136df,porsche,Excellent,AUTO MAHER Luxury CarsShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Oui,17,hybride,9xd0ds4q6tbm_11,42499,Cayenne,Importée neuve,,02/05/2025 16:58,Casablanca,Californie,avito,Porsche Cayenne Hybride 2023,Automatique,2023
368c4667-1ddd-4aa2-8a3f-3aa80d12ec21,renault,Très bon,otoclic casablancaShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Oui,6,diesel,n1kqs1s7m93p_5,32499,Clio,WW au Maroc,170000,02/05/2025 17:01,Casablanca,Ain Sebaa,avito,Renault Clio 5 1.5 dCi 115 AUTHENTIC,Manuelle,2023
a0607c71-67e2-4ec7-8e32-7e984e367162,porsche,,JAY AUTO HOUSEShopBadge Icon,,,,17,essence,yjjus6ebqdyl_10,2499,Cayenne,Importée neuve,,02/05/2025 16:59,Casablanca,Californie,avito,Porsche Cayenne COUPE HYBRIDE,Automatique,2025
10544bb3-42d3-4320-b46c-8f658799c5b3,mercedes-benz,Neuf,auto GhaliShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Oui,10,diesel,o9leiioczaef_19,2499,Classe A,Importée neuve,,02/05/2025 16:58,Casablanca,Aïn Chock,avito,Mercedes-Benz Classe A220d,Automatique,2025
98ad6da1-db71-4278-a1ab-fe195d715d21,volkswagen,Excellent,Brookline autoShopBadge Icon,5,,Oui,8,diesel,f1g8ojfc8p4i_12,22499,Golf 8,WW au Maroc,,02/05/2025 16:58,Casablanca,2 Mars,avito,Volkswagen Golf 8 Style Pack GTD,Automatique,2024
3cbfaad5-cbc5-4802-9f8b-8cac552d0467,maserati,Excellent,Isaac Auto By Mly DrissShopBadge Icon,3,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Oui,12,diesel,8v3ugqxa9gac_1,77499,Ghibli,WW au Maroc,,02/05/2025 17:02,Casablanca,Val Fleuri,avito,Maserati Ghibli 2015,Automatique,2015
9b22bdb4-b661-4f9a-8c2c-3f80b3617f06,audi,Très bon,LAVAGE AUTO SAADShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Non,8,essence,7w4krxden0w2_8,104999,A1,WW au Maroc,105000,02/05/2025 16:59,Casablanca,2 Mars,avito,audi A1 essence automatique,Automatique,2012
04f25614-8bd8-4707-9343-c74328e901d6,bentley,Neuf,BEL AIR AUTOShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",,34,essence,jlyh918lhxxy_9,52499,Bentayga,Importée neuve,,02/05/2025 16:58,Casablanca,Maarif,avito,Bentley Bentayga Essence Automatique 2017,Automatique,2017
ba8aa1e9-f6ca-4761-94b8-e99717647d74,nissan,Très bon,otoclic casablancaShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Système de navigation/GPS, Verrouillage centralisé à distance, Vitres électriques",Oui,6,essence,zy3dqfvenm9z_3,72499,Juke,WW au Maroc,224000,02/05/2025 17:01,Casablanca,Ain Sebaa,avito,Nissan Juke 1.0 Tekna,Automatique,2022
669dfff7-5ae6-4912-a598-0a731c72f2fa,peugeot,Très bon,madini car centerShopBadge Icon,5,,Non,6,diesel,otgxo8a0uuyy_32,97499,208,WW au Maroc,,02/05/2025 16:59,Tanger,Centre ville,avito,Peugeot 208 Diesel Pack active Automatique 2022,Automatique,2022
7cacf28a-8089-4bae-b212-616c6924dc2c,mini,Excellent,Najib,,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance",,8,diesel,o7w04ifgem6u_21,62499,Cooper,,,02/05/2025 17:00,Casablanca,2 Mars,avito,Mini John Cooper works S,Automatique,2018
3ab2c713-389b-4573-809d-dcaa45f2a494,mercedes-benz,Excellent,AUTO MAHER Luxury CarsShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",,8,diesel,epg02n1um54t_22,17499,Classe CLA,Importée neuve,,02/05/2025 16:57,Casablanca,Californie,avito,Mercedes-Benz CLA AMG LINE PLUS 2023,Automatique,2023
d6565436-c07e-4163-8431-a64b4733972d,porsche,Excellent,Marjane AutoShopBadge Icon,5,"ABS, Airbags, CD/MP3/Bluetooth, Caméra de recul, Climatisation, ESP, Jantes aluminium, Limiteur de vitesse, Ordinateur de bord, Radar de recul, Régulateur de vitesse, Sièges cuir, Système de navigation/GPS, Toit ouvrant, Verrouillage centralisé à distance, Vitres électriques",Oui,11,essence,am08sk81z7mj_35,77499,Macan,Importée neuve,,02/05/2025 16:57,Rabat,Hay el Fath,avito,PORSCHE MACAN ESSENCE,Automatique,2021
